iso3,current_severity,pred_sev_3m,pred_sev_6m,pred_sev_12m,sev_delta_12m,worst_case_12m,p45_surge_prob,p45_exceedance_6m,risk_signal,rank
UGA,3.0000,3.4839,3.4696,3.5113,0.5113,3.6797,0.9123,0.1387,0.9481,1
CRI,2.0000,2.4560,2.4775,2.5272,0.5272,2.8333,0.0004,0.0000,0.8942,2
MYS,2.0000,2.3241,2.3441,2.3825,0.3825,2.9443,0.0004,0.0000,0.8163,3
PER,3.0000,3.3095,3.2859,3.2994,0.2994,3.9306,0.0003,0.0309,0.7822,4
LBN,4.0000,4.1320,4.1049,4.1015,0.1015,5.0101,0.9064,0.1194,0.7294,5
CAF,4.0000,4.1677,4.1504,4.1440,0.1440,4.9126,0.5119,0.1080,0.7148,6
SLV,3.0000,3.3347,3.3180,3.3335,0.3335,3.6647,0.0078,0.0000,0.6503,7
PAN,2.0000,2.1396,2.1603,2.2073,0.2073,2.9611,0.0004,0.0003,0.6412,8
BGD,4.0000,4.0612,4.0440,4.0400,0.0400,4.9672,0.6219,0.0929,0.6205,9
TTO,2.0000,1.8916,1.9247,1.9620,-0.0380,2.9325,0.0005,0.0377,0.4286,10
JOR,3.0000,3.1385,3.1422,3.1723,0.1723,3.3315,0.8696,0.0811,0.3890,11
VEN,4.0000,4.1745,4.1695,4.1585,0.1585,4.1470,0.2897,0.1081,0.3511,12
UKR,5.0000,5.1248,5.1564,5.1166,0.1166,4.9659,0.0100,0.0689,0.2082,13
MEX,3.0000,3.0557,3.0338,3.0434,0.0434,3.3239,0.0003,0.0120,0.2078,14
PRK,4.0000,4.0164,3.9933,3.9868,-0.0132,4.4150,0.0020,0.0000,0.2008,15
ERI,3.0000,3.1091,3.0878,3.0984,0.0984,3.1443,0.0003,0.0264,0.1864,16
CMR,4.0000,4.0744,4.0552,4.0440,0.0440,4.0563,0.4139,0.1007,0.1840,17
NAM,3.0000,3.0566,3.0661,3.0850,0.0850,3.0136,0.9267,0.1022,0.1751,18
SDN,5.0000,5.1107,5.1282,5.0992,0.0992,4.9659,0.3069,0.0636,0.1747,19
ITA,2.0000,2.1400,2.1619,2.2033,0.2033,2.0013,0.0009,0.0042,0.1668,20
PSE,5.0000,5.0926,5.1130,5.0693,0.0693,5.0118,0.9616,0.0417,0.1606,21
KEN,4.0000,4.0024,3.9874,3.9706,-0.0294,4.0397,0.2552,0.1217,0.1289,22
GTM,4.0000,4.0868,4.0655,4.0545,0.0545,3.9377,0.3417,0.0782,0.1125,23
SSD,5.0000,5.0760,5.0753,5.0486,0.0486,4.9722,0.6154,0.0422,0.1035,24
IRN,4.0000,4.0276,4.0098,4.0122,0.0122,3.9724,0.3965,0.1032,0.0992,25
SVK,2.0000,2.0440,2.0696,2.1069,0.1069,2.0309,0.0004,0.0088,0.0939,26
DZA,3.0000,2.9709,2.9736,3.0053,0.0053,3.0742,0.9653,0.0805,0.0912,27
MMR,5.0000,5.0821,5.0813,5.0488,0.0488,4.9739,0.3485,0.0225,0.0908,28
PAK,4.0000,4.0097,3.9902,3.9883,-0.0117,3.9807,0.2600,0.1012,0.0818,29
NER,4.0000,4.0303,4.0133,3.9948,-0.0052,3.9631,0.8910,0.0856,0.0805,30
SWZ,3.0000,2.9782,2.9618,3.0221,0.0221,3.0216,0.6525,0.1075,0.0801,31
MLI,5.0000,4.9997,5.0101,4.9663,-0.0337,4.9785,0.0357,0.0772,0.0765,32
MOZ,4.0000,4.0131,3.9909,3.9868,-0.0132,3.9788,0.3070,0.0858,0.0661,33
LBY,4.0000,4.0069,3.9865,3.9802,-0.0198,3.9558,0.3120,0.0952,0.0596,34
ESP,2.0000,2.0199,2.0489,2.0851,0.0851,1.9829,0.0005,0.0186,0.0590,35
AFG,5.0000,4.9699,4.9637,4.9138,-0.0862,4.9534,0.2814,0.1157,0.0561,36
EGY,3.0000,3.0410,3.0230,3.0280,0.0280,3.0607,0.0003,0.0010,0.0544,37
COD,5.0000,4.9449,4.9492,4.9057,-0.0943,5.0109,0.8434,0.0959,0.0505,38
ZWE,4.0000,4.0052,3.9630,3.9359,-0.0641,4.0069,0.9813,0.0822,0.0487,39
HUN,2.0000,2.0051,2.0366,2.0720,0.0720,1.9647,0.0005,0.0249,0.0438,40
MWI,4.0000,4.0160,3.9819,3.9774,-0.0226,4.0129,0.8843,0.0499,0.0383,41
HND,4.0000,4.0467,4.0183,4.0148,0.0148,3.9306,0.3874,0.0515,0.0352,42
ETH,5.0000,4.9431,4.9399,4.8877,-0.1123,4.9727,0.2775,0.0979,0.0242,43
ROU,2.0000,1.9703,1.9913,2.0334,0.0334,2.0511,0.0004,0.0068,0.0236,44
ZMB,4.0000,4.0272,4.0009,3.9893,-0.0107,3.9988,0.9849,0.0229,0.0232,45
SEN,3.0000,2.9333,2.9443,2.9571,-0.0429,3.0472,0.9013,0.0494,0.0173,46
BRA,3.0000,3.0089,2.9906,2.9982,-0.0018,3.0118,0.0003,0.0073,0.0038,47
PHL,3.0000,2.8818,2.8729,2.8765,-0.1235,3.2231,0.0003,0.0184,0.0029,48
SYR,5.0000,4.9571,4.9541,4.8996,-0.1004,4.8606,0.3464,0.1122,-0.0034,49
TZA,3.0000,2.9921,2.9822,2.9830,-0.0170,3.0161,0.0003,0.0060,-0.0038,50
ARM,3.0000,2.9721,2.9644,2.9658,-0.0342,3.0272,0.0004,0.0106,-0.0113,51
DJI,3.0000,2.9573,2.9697,2.9863,-0.0137,2.9267,0.4931,0.0542,-0.0127,52
POL,3.0000,2.9835,2.9610,2.9754,-0.0246,3.0109,0.0003,0.0000,-0.0335,53
YEM,5.0000,4.9711,4.9700,4.9385,-0.0615,4.9229,0.5841,0.0301,-0.0385,54
IDN,3.0000,2.9454,2.9370,2.9385,-0.0615,2.9893,0.0005,0.0158,-0.0526,55
SOM,5.0000,4.8518,4.8477,4.8113,-0.1887,4.9863,0.7878,0.0865,-0.0726,56
RWA,3.0000,2.9154,2.9061,2.9086,-0.0914,3.0132,0.0003,0.0107,-0.0766,57
BFA,5.0000,4.8479,4.8383,4.8060,-0.1940,5.0005,0.9850,0.0795,-0.0820,58
COG,3.0000,2.8891,2.8738,2.8844,-0.1156,3.0730,0.0003,0.0064,-0.0833,59
TUR,4.0000,3.9002,3.8726,3.8626,-0.1374,3.9780,0.8222,0.0524,-0.0861,60
BDI,4.0000,3.8977,3.8754,3.8628,-0.1372,3.9682,0.0139,0.0513,-0.0892,61
MDG,3.0000,2.8739,2.8772,2.8919,-0.1081,2.9590,0.5582,0.0533,-0.0900,62
AGO,4.0000,3.8561,3.8345,3.8157,-0.1843,4.1475,0.0178,0.0000,-0.0917,63
CHL,3.0000,2.9123,2.8862,2.9035,-0.0965,2.9993,0.0003,0.0021,-0.1120,64
GRC,3.0000,2.8800,2.8690,2.8748,-0.1252,3.0060,0.0003,0.0053,-0.1227,65
THA,3.0000,2.9195,2.9089,2.9099,-0.0901,2.8775,0.0006,0.0208,-0.1315,66
ECU,4.0000,3.8202,3.8050,3.7934,-0.2066,3.8665,0.3406,0.0922,-0.1696,67
HTI,5.0000,4.8454,4.8252,4.8033,-0.1967,4.9823,0.3464,0.0129,-0.1708,68
IRQ,4.0000,3.6920,3.6690,3.6730,-0.3270,3.9550,0.7610,0.1026,-0.2509,69
NGA,5.0000,4.6370,4.6210,4.5822,-0.4178,4.8908,0.1179,0.0845,-0.3492,70
COL,5.0000,4.4221,4.4201,4.3888,-0.6112,4.9488,0.8138,0.0586,-0.5470,71
MDA,3.0000,2.5293,2.5145,2.5278,-0.4722,2.8007,0.0003,0.0199,-0.5652,72
DOM,3.0000,2.3472,2.3358,2.3515,-0.6485,2.8954,0.0003,0.0257,-0.6907,73
TCD,5.0000,4.2758,4.2442,4.2072,-0.7928,4.6825,0.2217,0.0846,-0.8300,74
MRT,4.0000,3.4047,3.3939,3.3828,-0.6172,3.2193,0.9563,0.0509,-0.9456,75
